threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=1
1, 3.366750, 1, 105, 0.000034, 0.000001, 0.000713
2, 3.311750, 1, 106, 0.000034, 0.000002, 0.000531
3, 3.194710, 1, 105, 0.000034, 0.000001, 0.021412
4, 3.811640, 1, 119, 0.000034, 0.000000, 0.000816
5, 3.814840, 1, 111, 0.000034, 0.000000, 0.004839
6, 3.758120, 1, 75, 0.000034, 0.000000, 0.013776
7, 3.689930, 1, 60, 0.000034, 0.000000, 0.030006
8, 3.244120, 1, 108, 0.000034, 0.000002, 0.002797
9, 3.302570, 1, 111, 0.000034, 0.000002, 0.000474
10, 3.313570, 1, 112, 0.000034, 0.000001, 0.000981
11, 3.311600, 1, 106, 0.000033, 0.000001, 0.000890
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=13
0, 3.893040, 1, 28917, 0.000036, 0.000001, 0.191028
1, 3.847120, 1, 28758, 0.000036, 0.000002, 0.191095
2, 3.729970, 1, 27589, 0.000036, 0.000001, 0.191009
3, 4.400450, 1, 30961, 0.000037, 0.000001, 0.191021
4, 4.380370, 1, 30940, 0.000037, 0.000001, 0.191013
5, 2.362410, 1, 318, 0.000040, 0.000000, 0.238131
6, 3.289160, 1, 28528, 0.000039, 0.000000, 0.560487
7, 4.265990, 1, 29751, 0.000037, 0.000000, 0.220012
8, 4.298280, 1, 30968, 0.000037, 0.000000, 0.191020
9, 3.753990, 1, 28050, 0.000036, 0.000002, 0.191052
10, 3.765070, 1, 28598, 0.000036, 0.000001, 0.191049
11, 3.889880, 1, 28930, 0.000036, 0.000001, 0.190990
12, 3.017680, 1, 28542, 0.000034, 0.000000, 0.440642
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=14
0, 4.065280, 1, 35192, 0.000038, 0.000000, 0.238531
1, 4.187400, 1, 35756, 0.000039, 0.000001, 0.238555
2, 4.789270, 1, 38100, 0.000040, 0.000002, 0.238548
3, 3.466790, 1, 55482, 0.000041, 0.000000, 0.752999
4, 4.740540, 1, 38113, 0.000040, 0.000001, 0.238564
5, 2.499620, 1, 7303, 0.000039, 0.000000, 0.238530
6, 3.519570, 1, 28331, 0.000043, 0.000000, 0.376889
7, 4.672730, 1, 36318, 0.000040, 0.000001, 0.238633
8, 2.363180, 1, 1259, 0.000043, 0.000000, 0.268328
9, 4.745550, 1, 37653, 0.000040, 0.000001, 0.238585
10, 4.067560, 1, 34696, 0.000039, 0.000001, 0.238534
11, 3.455050, 1, 34524, 0.000038, 0.000000, 0.238517
12, 4.203930, 1, 35735, 0.000039, 0.000002, 0.238529
13, 3.461920, 1, 35627, 0.000041, 0.000000, 0.429207
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=15
0, 4.256580, 1, 35234, 0.000039, 0.000000, 0.224602
1, 4.240260, 1, 35053, 0.000039, 0.000002, 0.217302
2, 4.145130, 1, 34228, 0.000040, 0.000001, 0.228287
