threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=1
5, 1.456740, 1, 10, 0.000007, 0.000000, 0.000868
6, 1.433340, 1, 9, 0.000007, 0.000000, 0.005985
7, 1.446740, 1, 10, 0.000007, 0.000000, 0.003170
8, 1.438990, 1, 9, 0.000007, 0.000000, 0.000170
9, 1.434410, 1, 11, 0.000007, 0.000000, 0.000279
10, 1.442960, 1, 10, 0.000007, 0.000001, 0.000895
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=12
0, 1.427700, 1, 12, 0.000008, 0.000000, 0.000316
1, 1.451490, 1, 10, 0.000008, 0.000000, 0.001108
2, 1.451730, 1, 10, 0.000008, 0.000002, 0.000315
3, 1.454360, 1, 11, 0.000008, 0.000000, 0.020230
4, 1.444730, 1, 10, 0.000008, 0.000001, 0.006288
5, 1.493770, 1, 10, 0.000008, 0.000001, 0.000231
6, 1.453290, 1, 10, 0.000008, 0.000001, 0.000312
7, 1.474060, 1, 10, 0.000008, 0.000002, 0.000415
8, 1.434630, 1, 9, 0.000008, 0.000000, 0.021284
9, 1.448640, 1, 11, 0.000008, 0.000001, 0.000378
10, 1.446440, 1, 11, 0.000008, 0.000002, 0.000198
11, 1.444820, 1, 10, 0.000008, 0.000000, 0.000290
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=13
0, 1.419170, 1, 10, 0.000008, 0.000000, 0.000308
1, 1.449580, 1, 12, 0.000008, 0.000002, 0.000504
2, 1.455560, 1, 9, 0.000008, 0.000001, 0.007999
3, 1.488090, 1, 11, 0.000008, 0.000001, 0.025078
4, 1.456870, 1, 11, 0.000008, 0.000002, 0.000225
5, 1.283110, 1, 10, 0.000009, 0.000000, 0.190227
6, 1.485080, 1, 12, 0.000008, 0.000002, 0.002900
7, 1.530670, 1, 11, 0.000008, 0.000001, 0.001563
8, 1.486170, 1, 10, 0.000008, 0.000000, 0.017994
9, 1.521330, 1, 11, 0.000008, 0.000000, 0.012353
10, 1.454020, 1, 9, 0.000008, 0.000001, 0.014264
11, 1.497420, 1, 13, 0.000008, 0.000001, 0.000324
12, 1.240720, 1, 10, 0.000009, 0.000000, 0.191620
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=14
0, 1.438280, 1, 10, 0.000008, 0.000000, 0.000194
1, 1.448050, 1, 10, 0.000008, 0.000002, 0.000193
2, 1.424710, 1, 11, 0.000008, 0.000001, 0.000403
3, 1.482630, 1, 11, 0.000008, 0.000002, 0.004612
4, 1.470250, 1, 10, 0.000008, 0.000002, 0.001348
5, 1.207760, 1, 9, 0.000013, 0.000000, 0.286799
6, 1.466320, 1, 9, 0.000008, 0.000001, 0.000312
7, 1.484070, 1, 11, 0.000008, 0.000001, 0.042640
